run_id,timestamp_utc,rank,source_checkpoint,source_run_id,priority,area,status,severity,gap,current_evidence,required_proof,next_action,source_report,done,source_row
supreme_team_2026-06-27_033347Z,2026-06-27_033347Z,1,gap_analysis,gap_analysis_2026-06-27_033347Z,P2,strategy_acceptance,gap,critical,no_strategy_passes_production_gates,steps_ready=5/7;first_blocker=no_production_eligible_strategy,production-eligible strategy with required two-leg base/stress results across multiple pairs,review /Users/gregc/Documents/Codex/TheWiz-publish-20260625/reports/research_unblock_plan.csv and collect the highest-impact missing history/features,reports/strategy_acceptance_checklist.csv;reports/research_unblock_plan.csv,False,gap_analysis
supreme_team_2026-06-27_033347Z,2026-06-27_033347Z,2,post_mortem,post_mortem_2026-06-27_033356Z,P2,strategy_acceptance,gap,critical,no_strategy_passes_production_gates,steps_ready=5/7;first_blocker=no_production_eligible_strategy,production-eligible strategy with required two-leg base/stress results across multiple pairs,"strategy_acceptance is actionable to investigate now; evidence is available (`steps_ready=5/7;first_blocker=no_production_eligible_strategy`), so a concrete regression cause can be logged.",reports/strategy_acceptance_checklist.csv;reports/research_unblock_plan.csv,False,post_mortem
supreme_team_2026-06-27_033347Z,2026-06-27_033347Z,3,pre_mortem,pre_mortem_2026-06-27_033352Z,P2,strategy_acceptance,gap,critical,no_strategy_passes_production_gates,steps_ready=5/7;first_blocker=no_production_eligible_strategy,production-eligible strategy with required two-leg base/stress results across multiple pairs,Keep strategy acceptance gates as mandatory before moving any pair into execution lanes.,reports/strategy_acceptance_checklist.csv;reports/research_unblock_plan.csv,False,pre_mortem
supreme_team_2026-06-27_033347Z,2026-06-27_033347Z,4,red_team,red_team_2026-06-27_033400Z,P2,strategy_acceptance,gap,critical,no_strategy_passes_production_gates,steps_ready=5/7;first_blocker=no_production_eligible_strategy,production-eligible strategy with required two-leg base/stress results across multiple pairs,Keep strategy acceptance gates as mandatory before moving any pair into execution lanes.,reports/strategy_acceptance_checklist.csv;reports/research_unblock_plan.csv,False,red_team
supreme_team_2026-06-27_033347Z,2026-06-27_033347Z,5,gap_analysis,gap_analysis_2026-06-27_033347Z,P3,dydx_testnet_readiness,gap,high,submit_orders_false,steps_ready=4/7;first_blocker=submit_orders_false,"submit flag, credentials, SDK, indexer, and authenticated order adapter all ready",keep order submission disabled until research passes and order adapter is injected,reports/dydx_execution_checklist.csv,False,gap_analysis
supreme_team_2026-06-27_033347Z,2026-06-27_033347Z,6,post_mortem,post_mortem_2026-06-27_033356Z,P3,dydx_testnet_readiness,gap,high,submit_orders_false,steps_ready=4/7;first_blocker=submit_orders_false,"submit flag, credentials, SDK, indexer, and authenticated order adapter all ready","dydx_testnet_readiness is actionable to investigate now; evidence is available (`steps_ready=4/7;first_blocker=submit_orders_false`), so a concrete regression cause can be logged.",reports/dydx_execution_checklist.csv,False,post_mortem
supreme_team_2026-06-27_033347Z,2026-06-27_033347Z,7,pre_mortem,pre_mortem_2026-06-27_033352Z,P3,dydx_testnet_readiness,gap,high,submit_orders_false,steps_ready=4/7;first_blocker=submit_orders_false,"submit flag, credentials, SDK, indexer, and authenticated order adapter all ready",Keep all venue execution checks and adapter wiring as hard blockers before paper/live signals.,reports/dydx_execution_checklist.csv,False,pre_mortem
supreme_team_2026-06-27_033347Z,2026-06-27_033347Z,8,red_team,red_team_2026-06-27_033400Z,P3,dydx_testnet_readiness,gap,high,submit_orders_false,steps_ready=4/7;first_blocker=submit_orders_false,"submit flag, credentials, SDK, indexer, and authenticated order adapter all ready",Keep all venue execution checks and adapter wiring as hard blockers before paper/live signals.,reports/dydx_execution_checklist.csv,False,red_team
supreme_team_2026-06-27_033347Z,2026-06-27_033347Z,9,gap_analysis,gap_analysis_2026-06-27_033347Z,P4,paper_execution_gate,gap,high,strategy_or_dydx_gate_not_ready,steps_ready=0/4;first_blocker=no_strategy_passes_production_gates,strategy_acceptance ready and dydx_testnet_readiness ready,resolve top blockers before paper execution,reports/paper_execution_preflight.csv,False,gap_analysis
supreme_team_2026-06-27_033347Z,2026-06-27_033347Z,10,post_mortem,post_mortem_2026-06-27_033356Z,P4,paper_execution_gate,gap,high,strategy_or_dydx_gate_not_ready,steps_ready=0/4;first_blocker=no_strategy_passes_production_gates,strategy_acceptance ready and dydx_testnet_readiness ready,"paper_execution_gate is actionable to investigate now; evidence is available (`steps_ready=0/4;first_blocker=no_strategy_passes_production_gates`), so a concrete regression cause can be logged.",reports/paper_execution_preflight.csv,False,post_mortem
supreme_team_2026-06-27_033347Z,2026-06-27_033347Z,11,pre_mortem,pre_mortem_2026-06-27_033352Z,P4,paper_execution_gate,gap,high,strategy_or_dydx_gate_not_ready,steps_ready=0/4;first_blocker=no_strategy_passes_production_gates,strategy_acceptance ready and dydx_testnet_readiness ready,Run paper preflight as a strict step with explicit block reasons and no override path.,reports/paper_execution_preflight.csv,False,pre_mortem
supreme_team_2026-06-27_033347Z,2026-06-27_033347Z,12,red_team,red_team_2026-06-27_033400Z,P4,paper_execution_gate,gap,high,strategy_or_dydx_gate_not_ready,steps_ready=0/4;first_blocker=no_strategy_passes_production_gates,strategy_acceptance ready and dydx_testnet_readiness ready,Run paper preflight as a strict step with explicit block reasons and no override path.,reports/paper_execution_preflight.csv,False,red_team
supreme_team_2026-06-27_033347Z,2026-06-27_033347Z,13,gap_analysis,gap_analysis_2026-06-27_033347Z,P5,learning_event_store,gap,medium,missing_learning_events,events=0;outcomes=0;outcomes_remaining=100;ready_for_modeling=False,paper journal or trade store contains outcome events for later modeling,append realized trade outcomes once research-gated paper signals exist,reports/learning_event_summary.csv,False,gap_analysis
supreme_team_2026-06-27_033347Z,2026-06-27_033347Z,14,post_mortem,post_mortem_2026-06-27_033356Z,P5,learning_event_store,gap,medium,missing_learning_events,events=0;outcomes=0;outcomes_remaining=100;ready_for_modeling=False,paper journal or trade store contains outcome events for later modeling,"learning_event_store is actionable to investigate now; evidence is available (`events=0;outcomes=0;outcomes_remaining=100;ready_for_modeling=False`), so a concrete regression cause can be logged.",reports/learning_event_summary.csv,False,post_mortem
