idea_id,pair,timeframe,strategy,regime,entry_style,exit_style,source_policy,confidence_score,expected_return,risk_proxy,expected_trade_count,zscore,spread,spread_slope,beta_stability,copula_calibration_score,liquidity_score,source,reasoning,evidence_path,generated_at,status
rl_idea_0001,BTCUSDT-SOLUSDT,,"0     unspecified
1     unspecified
2     unspecified
3     unspecified
4     unspecified
5     unspecified
6     unspecified
7     unspecified
8     unspecified
9     unspecified
10    unspecified
11    unspecified
12    unspecified
13    unspecified
14    unspecified
15    unspecified
16    unspecified
17    unspecified
18    unspecified
19    unspecified
20    unspecified
21    unspecified
22    unspecified
23    unspecified
24    unspecified
dtype: object",range,quantile_policy,quantile_boundary,safe_quantile_baseline,0.6107411626206903,0.6659212328624593,0.6659212328624593,1,0.0,0.0,0.0,0.0,0.8015213206509443,1.0,rl_research_backtest,rl-policy=unknown; return=0.6659212328624593; confidence=0.6107411626206903,reports/rl/rl_training_report.csv,2026-06-26T22:13:13.820676+00:00,candidate
rl_idea_0002,BTCUSDT-SOLUSDT,,"0     unspecified
1     unspecified
2     unspecified
3     unspecified
4     unspecified
5     unspecified
6     unspecified
7     unspecified
8     unspecified
9     unspecified
10    unspecified
11    unspecified
12    unspecified
13    unspecified
14    unspecified
15    unspecified
16    unspecified
17    unspecified
18    unspecified
19    unspecified
20    unspecified
21    unspecified
22    unspecified
23    unspecified
24    unspecified
dtype: object",range,quantile_policy,quantile_boundary,safe_quantile_baseline,0.6107411626206903,0.6659212328624593,0.6659212328624593,1,0.0,0.0,0.0,0.0,0.8015213206509443,1.0,rl_research_backtest,rl-policy=unknown; return=0.6659212328624593; confidence=0.6107411626206903,reports/rl/rl_training_report.csv,2026-06-26T22:13:13.820676+00:00,candidate
rl_idea_0003,BTCUSDT-SOLUSDT,,"0     unspecified
1     unspecified
2     unspecified
3     unspecified
4     unspecified
5     unspecified
6     unspecified
7     unspecified
8     unspecified
9     unspecified
10    unspecified
11    unspecified
12    unspecified
13    unspecified
14    unspecified
15    unspecified
16    unspecified
17    unspecified
18    unspecified
19    unspecified
20    unspecified
21    unspecified
22    unspecified
23    unspecified
24    unspecified
dtype: object",range,quantile_policy,quantile_boundary,safe_quantile_baseline,0.6100546497164681,0.6650261346150224,0.6650261346150224,1,0.0,0.0,0.0,0.0,0.8011867187254809,1.0,rl_research_backtest,rl-policy=unknown; return=0.6650261346150224; confidence=0.6100546497164681,reports/rl/rl_training_report.csv,2026-06-26T22:13:13.820676+00:00,candidate
rl_idea_0004,BTCUSDT-SOLUSDT,,"0     unspecified
1     unspecified
2     unspecified
3     unspecified
4     unspecified
5     unspecified
6     unspecified
7     unspecified
8     unspecified
9     unspecified
10    unspecified
11    unspecified
12    unspecified
13    unspecified
14    unspecified
15    unspecified
16    unspecified
17    unspecified
18    unspecified
19    unspecified
20    unspecified
21    unspecified
22    unspecified
23    unspecified
24    unspecified
dtype: object",range,quantile_policy,quantile_boundary,safe_quantile_baseline,0.604646695773656,0.6579750652663485,0.6579750652663485,1,0.0,0.0,0.0,0.0,0.8015213206509443,1.0,rl_research_backtest,rl-policy=unknown; return=0.6579750652663485; confidence=0.604646695773656,reports/rl/rl_training_report.csv,2026-06-26T22:13:13.820676+00:00,candidate
rl_idea_0005,BTCUSDT-SOLUSDT,,"0     unspecified
1     unspecified
2     unspecified
3     unspecified
4     unspecified
5     unspecified
6     unspecified
7     unspecified
8     unspecified
9     unspecified
10    unspecified
11    unspecified
12    unspecified
13    unspecified
14    unspecified
15    unspecified
16    unspecified
17    unspecified
18    unspecified
19    unspecified
20    unspecified
21    unspecified
22    unspecified
23    unspecified
24    unspecified
dtype: object",range,quantile_policy,quantile_boundary,safe_quantile_baseline,0.5089502687452139,0.5332028962476554,0.5332028962476554,1,0.0,0.0,0.0,0.0,0.8011867187254809,1.0,rl_research_backtest,rl-policy=unknown; return=0.5332028962476554; confidence=0.5089502687452139,reports/rl/rl_training_report.csv,2026-06-26T22:13:13.820676+00:00,candidate
rl_idea_0006,ETHUSDT-SOLUSDT,,"0     unspecified
1     unspecified
2     unspecified
3     unspecified
4     unspecified
5     unspecified
6     unspecified
7     unspecified
8     unspecified
9     unspecified
10    unspecified
11    unspecified
12    unspecified
13    unspecified
14    unspecified
15    unspecified
16    unspecified
17    unspecified
18    unspecified
19    unspecified
20    unspecified
21    unspecified
22    unspecified
23    unspecified
24    unspecified
dtype: object",bear,quantile_policy,quantile_boundary,safe_quantile_baseline,0.4369407914009439,0.4393145562422693,0.4393145562422693,1,0.0,0.0,0.0,0.0,0.7393719552586241,1.0,rl_research_backtest,rl-policy=unknown; return=0.4393145562422693; confidence=0.4369407914009439,reports/rl/rl_training_report.csv,2026-06-26T22:13:13.820676+00:00,candidate
rl_idea_0007,ETH-USD-SOL-USD,,"0     unspecified
1     unspecified
2     unspecified
3     unspecified
4     unspecified
5     unspecified
6     unspecified
7     unspecified
8     unspecified
9     unspecified
10    unspecified
11    unspecified
12    unspecified
13    unspecified
14    unspecified
15    unspecified
16    unspecified
17    unspecified
18    unspecified
19    unspecified
20    unspecified
21    unspecified
22    unspecified
23    unspecified
24    unspecified
dtype: object",bear,quantile_policy,quantile_boundary,safe_quantile_baseline,0.42750328554339434,0.4270096237328968,0.4270096237328968,1,0.0,0.0,0.0,0.0,0.5841560951610643,1.0,rl_research_backtest,rl-policy=unknown; return=0.4270096237328968; confidence=0.42750328554339434,reports/rl/rl_training_report.csv,2026-06-26T22:13:13.820676+00:00,candidate
rl_idea_0008,ETH-USD-SOL-USD,,"0     unspecified
1     unspecified
2     unspecified
3     unspecified
4     unspecified
5     unspecified
6     unspecified
7     unspecified
8     unspecified
9     unspecified
10    unspecified
11    unspecified
12    unspecified
13    unspecified
14    unspecified
15    unspecified
16    unspecified
17    unspecified
18    unspecified
19    unspecified
20    unspecified
21    unspecified
22    unspecified
23    unspecified
24    unspecified
dtype: object",bear,quantile_policy,quantile_boundary,safe_quantile_baseline,0.42750328554339434,0.4270096237328968,0.4270096237328968,1,0.0,0.0,0.0,0.0,0.5841560951610643,1.0,rl_research_backtest,rl-policy=unknown; return=0.4270096237328968; confidence=0.42750328554339434,reports/rl/rl_training_report.csv,2026-06-26T22:13:13.820676+00:00,candidate
rl_idea_0009,ETH-USD-SOL-USD,,"0     unspecified
1     unspecified
2     unspecified
3     unspecified
4     unspecified
5     unspecified
6     unspecified
7     unspecified
8     unspecified
9     unspecified
10    unspecified
11    unspecified
12    unspecified
13    unspecified
14    unspecified
15    unspecified
16    unspecified
17    unspecified
18    unspecified
19    unspecified
20    unspecified
21    unspecified
22    unspecified
23    unspecified
24    unspecified
dtype: object",bear,quantile_policy,quantile_boundary,safe_quantile_baseline,0.3665671768192481,0.3475591082521998,0.3475591082521998,1,0.0,0.0,0.0,0.0,0.6057931310743521,1.0,rl_research_backtest,rl-policy=unknown; return=0.3475591082521998; confidence=0.3665671768192481,reports/rl/rl_training_report.csv,2026-06-26T22:13:13.820676+00:00,candidate
rl_idea_0010,ETH-USD-SOL-USD,,"0     unspecified
1     unspecified
2     unspecified
3     unspecified
4     unspecified
5     unspecified
6     unspecified
7     unspecified
8     unspecified
9     unspecified
10    unspecified
11    unspecified
12    unspecified
13    unspecified
14    unspecified
15    unspecified
16    unspecified
17    unspecified
18    unspecified
19    unspecified
20    unspecified
21    unspecified
22    unspecified
23    unspecified
24    unspecified
dtype: object",bear,quantile_policy,quantile_boundary,safe_quantile_baseline,0.3665671768192481,0.3475591082521998,0.3475591082521998,1,0.0,0.0,0.0,0.0,0.6057931310743521,1.0,rl_research_backtest,rl-policy=unknown; return=0.3475591082521998; confidence=0.3665671768192481,reports/rl/rl_training_report.csv,2026-06-26T22:13:13.820676+00:00,candidate
