path,pair,interval,history_rows,price_rows,missing_required_fields,missing_price_x_rate,missing_price_y_rate,stale_price_x_rate,stale_price_y_rate,zero_volume_x_rate,zero_volume_y_rate,nonfinite_spread_rate,nonfinite_zscore_rate,research_usable,execution_usable,quality_blockers,source_note
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_BNB_USD_LINK_USD_5mins_dydx_candles_derived_history.json,BNB-USD-LINK-USD,5mins,91,91,,0.0,0.0,0.9,0.766667,0.901099,0.769231,0.0,0.0,True,True,,"Derived from manually copied dYdX candle responses observed on Crypto Wizards pair page. Spread and zscore are reconstructed locally. Funding is not fabricated; merge real dYdX funding with --funding-path before production acceptance. ECM fields are provisional derived estimates, not native Crypto Wizards ECM payload values. Additional research columns such as conditional_probability_distortion, half_life, hurst, tail_dependence, and model confidence inputs are provisional derived features used to exercise the strategy research harness."
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_aave_uni_5mins_dydx_candles_derived_history.json,AAVE-USD-UNI-USD,5mins,1000,1000,,0.0,0.0,0.961962,0.942943,0.958,0.943,0.0,0.0,False,False,price_x_stale_above_90pct;price_y_stale_above_90pct,"Derived from manually copied dYdX candle responses observed on Crypto Wizards pair page. Spread and zscore are reconstructed locally. Funding is not fabricated; merge real dYdX funding with --funding-path before production acceptance. ECM fields are provisional derived estimates, not native Crypto Wizards ECM payload values. Additional research columns such as conditional_probability_distortion, half_life, hurst, tail_dependence, and model confidence inputs are provisional derived features used to exercise the strategy research harness."
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_arb_op_5mins_dydx_candles_derived_history.json,ARB-USD-OP-USD,5mins,1000,1000,,0.0,0.0,0.934935,0.963964,0.935,0.964,0.0,0.0,False,False,price_x_stale_above_90pct;price_y_stale_above_90pct,"Derived from manually copied dYdX candle responses observed on Crypto Wizards pair page. Spread and zscore are reconstructed locally. Funding is not fabricated; merge real dYdX funding with --funding-path before production acceptance. ECM fields are provisional derived estimates, not native Crypto Wizards ECM payload values. Additional research columns such as conditional_probability_distortion, half_life, hurst, tail_dependence, and model confidence inputs are provisional derived features used to exercise the strategy research harness."
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_bnb_link_5mins_dydx_long_history_derived_history.json,BNB-USD-LINK-USD,5mins,12000,12000,,0.0,0.0,0.891324,0.799733,0.8895,0.794583,0.0,0.0,True,False,missing_execution_assumptions:funding_x_bps;funding_y_bps,"Derived from manually copied dYdX candle responses observed on Crypto Wizards pair page. Spread and zscore are reconstructed locally. Funding is not fabricated; merge real dYdX funding with --funding-path before production acceptance. ECM fields are provisional derived estimates, not native Crypto Wizards ECM payload values. Additional research columns such as conditional_probability_distortion, half_life, hurst, tail_dependence, and model confidence inputs are provisional derived features used to exercise the strategy research harness."
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_btc_avax_5mins_dydx_candles_derived_history.json,BTC-USD-AVAX-USD,5mins,1000,1000,,0.0,0.0,0.008008,0.886887,0.003,0.881,0.0,0.0,True,True,,"Derived from manually copied dYdX candle responses observed on Crypto Wizards pair page. Spread and zscore are reconstructed locally. Funding is not fabricated; merge real dYdX funding with --funding-path before production acceptance. ECM fields are provisional derived estimates, not native Crypto Wizards ECM payload values. Additional research columns such as conditional_probability_distortion, half_life, hurst, tail_dependence, and model confidence inputs are provisional derived features used to exercise the strategy research harness."
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_btc_eth_5mins_dydx_candles_derived_history.json,BTC-USD-ETH-USD,5mins,150,150,,0.0,0.0,0.006711,0.04698,0.0,0.04,0.0,0.0,True,True,,"Derived from manually copied dYdX candle responses observed on Crypto Wizards pair page. Spread and zscore are reconstructed locally. Funding is not fabricated; merge real dYdX funding with --funding-path before production acceptance. ECM fields are provisional derived estimates, not native Crypto Wizards ECM payload values. Additional research columns such as conditional_probability_distortion, half_life, hurst, tail_dependence, and model confidence inputs are provisional derived features used to exercise the strategy research harness."
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_btc_eth_5mins_dydx_long_history_derived_history.json,BTC-USD-ETH-USD,5mins,12000,12000,,0.0,0.0,0.012001,0.128011,0.001917,0.1105,0.0,0.0,True,True,,"Derived from manually copied dYdX candle responses observed on Crypto Wizards pair page. Spread and zscore are reconstructed locally. Funding is not fabricated; merge real dYdX funding with --funding-path before production acceptance. ECM fields are provisional derived estimates, not native Crypto Wizards ECM payload values. Additional research columns such as conditional_probability_distortion, half_life, hurst, tail_dependence, and model confidence inputs are provisional derived features used to exercise the strategy research harness."
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_btc_link_5mins_dydx_long_history_derived_history.json,BTC-USD-LINK-USD,5mins,23999,23999,,0.0,0.0,0.010168,0.791691,0.000958,0.785283,0.0,0.0,True,True,,"Derived from manually copied dYdX candle responses observed on Crypto Wizards pair page. Spread and zscore are reconstructed locally. Funding is not fabricated; merge real dYdX funding with --funding-path before production acceptance. ECM fields are provisional derived estimates, not native Crypto Wizards ECM payload values. Additional research columns such as conditional_probability_distortion, half_life, hurst, tail_dependence, and model confidence inputs are provisional derived features used to exercise the strategy research harness."
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_btc_sol_5mins_dydx_long_history_derived_history.json,BTC-USD-SOL-USD,5mins,12000,12000,,0.0,0.0,0.012001,0.290358,0.001917,0.267417,0.0,0.0,True,False,missing_execution_assumptions:funding_y_bps,"Derived from manually copied dYdX candle responses observed on Crypto Wizards pair page. Spread and zscore are reconstructed locally. Funding is not fabricated; merge real dYdX funding with --funding-path before production acceptance. ECM fields are provisional derived estimates, not native Crypto Wizards ECM payload values. Additional research columns such as conditional_probability_distortion, half_life, hurst, tail_dependence, and model confidence inputs are provisional derived features used to exercise the strategy research harness."
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_doge_ltc_5mins_dydx_candles_derived_history.json,DOGE-USD-LTC-USD,5mins,1000,1000,,0.0,0.0,0.657658,0.773774,0.645,0.763,0.0,0.0,True,True,,"Derived from manually copied dYdX candle responses observed on Crypto Wizards pair page. Spread and zscore are reconstructed locally. Funding is not fabricated; merge real dYdX funding with --funding-path before production acceptance. ECM fields are provisional derived estimates, not native Crypto Wizards ECM payload values. Additional research columns such as conditional_probability_distortion, half_life, hurst, tail_dependence, and model confidence inputs are provisional derived features used to exercise the strategy research harness."
